team_code,date,start_h_et,end_h_et,log_mins,opponent,tm,opp,w,l,streak
ATL,2021-05-23,19:00,21:20,140.0,New York Knicks,107,105,1,0,W 1
ATL,2021-05-26,19:30,21:56,146.0,New York Knicks,92,101,1,1,L 1
ATL,2021-05-28,19:00,21:22,142.0,New York Knicks,105,94,2,1,W 1
ATL,2021-05-30,13:00,15:19,139.0,New York Knicks,113,96,3,1,W 2
ATL,2021-06-02,19:30,21:52,142.0,New York Knicks,103,89,4,1,W 3
ATL,2021-06-06,13:00,15:30,150.0,Philadelphia 76ers,128,124,5,1,W 4
ATL,2021-06-08,19:30,21:57,147.0,Philadelphia 76ers,102,118,5,2,L 1
ATL,2021-06-11,19:30,22:03,153.0,Philadelphia 76ers,111,127,5,3,L 2
ATL,2021-06-14,19:30,22:03,153.0,Philadelphia 76ers,103,100,6,3,W 1
ATL,2021-06-16,19:30,22:10,160.0,Philadelphia 76ers,109,106,7,3,W 2
ATL,2021-06-18,19:30,22:06,156.0,Philadelphia 76ers,99,104,7,4,L 1
ATL,2021-06-20,20:00,22:35,155.0,Philadelphia 76ers,103,96,8,4,W 1
ATL,2021-06-23,20:30,22:49,139.0,Milwaukee Bucks,116,113,9,4,W 2
ATL,2021-06-25,20:30,22:48,138.0,Milwaukee Bucks,91,125,9,5,L 1
ATL,2021-06-27,20:30,22:54,144.0,Milwaukee Bucks,102,113,9,6,L 2
ATL,2021-06-29,20:30,22:50,140.0,Milwaukee Bucks,110,88,10,6,W 1
ATL,2021-07-01,20:30,22:54,144.0,Milwaukee Bucks,112,123,10,7,L 1
ATL,2021-07-03,20:30,22:53,143.0,Milwaukee Bucks,107,118,10,8,L 2
ATL,2022-04-17,13:00,15:16,136.0,Miami Heat,91,115,0,1,L 1
ATL,2022-04-19,19:30,22:00,150.0,Miami Heat,105,115,0,2,L 2
ATL,2022-04-22,19:45,22:09,144.0,Miami Heat,111,110,1,2,W 1
ATL,2022-04-24,19:00,21:21,141.0,Miami Heat,86,110,1,3,L 1
ATL,2022-04-26,19:00,21:45,165.0,Miami Heat,94,97,1,4,L 2
ATL,2023-04-15,15:30,17:44,134.0,Boston Celtics,99,112,0,1,L 1
ATL,2023-04-18,19:00,21:03,123.0,Boston Celtics,106,119,0,2,L 2
ATL,2023-04-21,19:00,21:19,139.0,Boston Celtics,130,122,1,2,W 1
ATL,2023-04-23,19:00,21:28,148.0,Boston Celtics,121,129,1,3,L 1
ATL,2023-04-25,19:30,21:48,138.0,Boston Celtics,119,117,2,3,W 1
ATL,2023-04-27,20:30,22:54,144.0,Boston Celtics,120,128,2,4,L 1
BOS,2018-04-15,13:00,15:50,170.0,Milwaukee Bucks,113,107,1,0,W 1
BOS,2018-04-17,20:00,22:16,136.0,Milwaukee Bucks,120,106,2,0,W 2
BOS,2018-04-20,21:30,23:43,133.0,Milwaukee Bucks,92,116,2,1,L 1
BOS,2018-04-22,13:00,15:25,145.0,Milwaukee Bucks,102,104,2,2,L 2
BOS,2018-04-24,19:00,21:32,152.0,Milwaukee Bucks,92,87,3,2,W 1
BOS,2018-04-26,20:00,22:20,140.0,Milwaukee Bucks,86,97,3,3,L 1
BOS,2018-04-28,20:00,22:22,142.0,Milwaukee Bucks,112,96,4,3,W 1
BOS,2018-04-30,20:00,22:22,142.0,Philadelphia 76ers,117,101,5,3,W 2
BOS,2018-05-03,20:30,22:53,143.0,Philadelphia 76ers,108,103,6,3,W 3
BOS,2018-05-05,17:00,19:43,163.0,Philadelphia 76ers,101,98,7,3,W 4
BOS,2018-05-07,18:00,20:27,147.0,Philadelphia 76ers,92,103,7,4,L 1
BOS,2018-05-09,20:00,22:39,159.0,Philadelphia 76ers,114,112,8,4,W 1
BOS,2018-05-13,15:30,17:38,128.0,Cleveland Cavaliers,108,83,9,4,W 2
BOS,2018-05-15,20:30,22:51,141.0,Cleveland Cavaliers,107,94,10,4,W 3
BOS,2018-05-19,20:30,22:47,137.0,Cleveland Cavaliers,86,116,10,5,L 1
BOS,2018-05-21,20:30,23:00,150.0,Cleveland Cavaliers,102,111,10,6,L 2
BOS,2018-05-23,20:30,22:51,141.0,Cleveland Cavaliers,96,83,11,6,W 1
BOS,2018-05-25,20:30,22:50,140.0,Cleveland Cavaliers,99,109,11,7,L 1
BOS,2018-05-27,20:30,22:48,138.0,Cleveland Cavaliers,79,87,11,8,L 2
BOS,2019-04-14,13:00,15:18,138.0,Indiana Pacers,84,74,1,0,W 1
BOS,2019-04-17,19:00,21:12,132.0,Indiana Pacers,99,91,2,0,W 2
BOS,2019-04-19,20:30,22:45,135.0,Indiana Pacers,104,96,3,0,W 3
BOS,2019-04-21,13:00,15:25,145.0,Indiana Pacers,110,106,4,0,W 4
BOS,2019-04-28,13:00,15:05,125.0,Milwaukee Bucks,112,90,5,0,W 5
BOS,2019-04-30,20:00,22:21,141.0,Milwaukee Bucks,102,123,5,1,L 1
BOS,2019-05-03,20:00,22:33,153.0,Milwaukee Bucks,116,123,5,2,L 2
BOS,2019-05-06,19:00,21:22,142.0,Milwaukee Bucks,101,113,5,3,L 3
BOS,2019-05-08,20:00,22:24,144.0,Milwaukee Bucks,91,116,5,4,L 4
BOS,2020-08-17,18:30,20:55,145.0,Philadelphia 76ers,109,101,1,0,W 1
BOS,2020-08-19,18:30,20:51,141.0,Philadelphia 76ers,128,101,2,0,W 2
BOS,2020-08-21,18:30,20:59,149.0,Philadelphia 76ers,102,94,3,0,W 3
BOS,2020-08-23,13:00,15:37,157.0,Philadelphia 76ers,110,106,4,0,W 4
BOS,2020-08-30,13:00,15:24,144.0,Toronto Raptors,112,94,5,0,W 5
BOS,2020-09-01,17:30,19:56,146.0,Toronto Raptors,102,99,6,0,W 6
BOS,2020-09-03,18:30,20:54,144.0,Toronto Raptors,103,104,6,1,L 1
BOS,2020-09-05,18:30,20:57,147.0,Toronto Raptors,93,100,6,2,L 2
BOS,2020-09-07,18:30,20:48,138.0,Toronto Raptors,111,89,7,2,W 1
BOS,2020-09-09,18:30,21:31,181.0,Toronto Raptors,122,125,7,3,L 1
BOS,2020-09-11,21:00,23:22,142.0,Toronto Raptors,92,87,8,3,W 1
BOS,2020-09-15,18:30,21:11,161.0,Miami Heat,114,117,8,4,L 1
BOS,2020-09-17,19:00,21:22,142.0,Miami Heat,101,106,8,5,L 2
BOS,2020-09-19,20:30,22:59,149.0,Miami Heat,117,106,9,5,W 1
BOS,2020-09-23,20:30,23:05,155.0,Miami Heat,109,112,9,6,L 1
BOS,2020-09-25,20:30,23:05,155.0,Miami Heat,121,108,10,6,W 1
BOS,2020-09-27,19:30,21:49,139.0,Miami Heat,113,125,10,7,L 1
BOS,2021-05-22,20:00,22:23,143.0,Brooklyn Nets,93,104,0,1,L 1
BOS,2021-05-25,19:30,21:45,135.0,Brooklyn Nets,108,130,0,2,L 2
BOS,2021-05-28,20:30,23:05,155.0,Brooklyn Nets,125,119,1,2,W 1
BOS,2021-05-30,19:00,21:28,148.0,Brooklyn Nets,126,141,1,3,L 1
BOS,2021-06-01,19:30,21:52,142.0,Brooklyn Nets,109,123,1,4,L 2
BOS,2022-04-17,15:30,17:54,144.0,Brooklyn Nets,115,114,1,0,W 1
BOS,2022-04-20,19:00,21:35,155.0,Brooklyn Nets,114,107,2,0,W 2
BOS,2022-04-23,19:30,21:47,137.0,Brooklyn Nets,109,103,3,0,W 3
BOS,2022-04-25,19:00,21:30,150.0,Brooklyn Nets,116,112,4,0,W 4
BOS,2022-05-01,13:00,15:28,148.0,Milwaukee Bucks,89,101,4,1,L 1
BOS,2022-05-03,19:00,21:31,151.0,Milwaukee Bucks,109,86,5,1,W 1
BOS,2022-05-07,15:30,18:04,154.0,Milwaukee Bucks,101,103,5,2,L 1
BOS,2022-05-09,19:30,22:03,153.0,Milwaukee Bucks,116,108,6,2,W 1
BOS,2022-05-11,19:00,21:31,151.0,Milwaukee Bucks,107,110,6,3,L 1
BOS,2022-05-13,19:30,21:57,147.0,Milwaukee Bucks,108,95,7,3,W 1
BOS,2022-05-15,15:30,17:57,147.0,Milwaukee Bucks,109,81,8,3,W 2
BOS,2022-05-17,20:30,23:09,159.0,Miami Heat,107,118,8,4,L 1
BOS,2022-05-19,20:30,22:46,136.0,Miami Heat,127,102,9,4,W 1
BOS,2022-05-21,20:30,23:07,157.0,Miami Heat,103,109,9,5,L 1
BOS,2022-05-23,20:30,22:50,140.0,Miami Heat,102,82,10,5,W 1
BOS,2022-05-25,20:30,22:50,140.0,Miami Heat,93,80,11,5,W 2
BOS,2022-05-27,20:30,23:11,161.0,Miami Heat,103,111,11,6,L 1
BOS,2022-05-29,20:30,23:00,150.0,Miami Heat,100,96,12,6,W 1
BOS,2022-06-02,21:00,23:19,139.0,Golden State Warriors,120,108,13,6,W 2
BOS,2022-06-05,20:00,22:28,148.0,Golden State Warriors,88,107,13,7,L 1
BOS,2022-06-08,21:00,23:26,146.0,Golden State Warriors,116,100,14,7,W 1
BOS,2022-06-10,21:00,23:21,141.0,Golden State Warriors,97,107,14,8,L 1
BOS,2022-06-13,21:00,23:27,147.0,Golden State Warriors,94,104,14,9,L 2
BOS,2022-06-16,21:00,23:20,140.0,Golden State Warriors,90,103,14,10,L 3
BOS,2023-04-15,15:30,17:44,134.0,Atlanta Hawks,112,99,1,0,W 1
BOS,2023-04-18,19:00,21:03,123.0,Atlanta Hawks,119,106,2,0,W 2
BOS,2023-04-21,19:00,21:19,139.0,Atlanta Hawks,122,130,2,1,L 1
BOS,2023-04-23,19:00,21:28,148.0,Atlanta Hawks,129,121,3,1,W 1
BOS,2023-04-25,19:30,21:48,138.0,Atlanta Hawks,117,119,3,2,L 1
BOS,2023-04-27,20:30,22:54,144.0,Atlanta Hawks,128,120,4,2,W 1
BOS,2023-05-01,19:30,21:46,136.0,Philadelphia 76ers,115,119,4,3,L 1
BOS,2023-05-03,20:00,22:13,133.0,Philadelphia 76ers,121,87,5,3,W 1
BOS,2023-05-05,19:30,21:52,142.0,Philadelphia 76ers,114,102,6,3,W 2
BOS,2023-05-07,15:30,18:05,155.0,Philadelphia 76ers,115,116,6,4,L 1
BOS,2023-05-09,19:30,21:55,145.0,Philadelphia 76ers,103,115,6,5,L 2
BOS,2023-05-11,19:30,21:50,140.0,Philadelphia 76ers,95,86,7,5,W 1
BOS,2023-05-14,15:30,17:53,143.0,Philadelphia 76ers,112,88,8,5,W 2
BOS,2023-05-17,20:30,22:48,138.0,Miami Heat,116,123,8,6,L 1
BOS,2023-05-19,20:30,22:52,142.0,Miami Heat,105,111,8,7,L 2
BOS,2023-05-21,20:30,22:46,136.0,Miami Heat,102,128,8,8,L 3
BOS,2023-05-23,20:30,22:52,142.0,Miami Heat,116,99,9,8,W 1
BOS,2023-05-25,20:30,22:38,128.0,Miami Heat,110,97,10,8,W 2
BOS,2023-05-27,20:30,23:10,160.0,Miami Heat,104,103,11,8,W 3
BOS,2023-05-29,20:30,22:40,130.0,Miami Heat,84,103,11,9,L 1
BOS,2024-04-21,13:00,15:09,129.0,Miami Heat,114,94,1,0,W 1
BOS,2024-04-24,19:00,21:19,139.0,Miami Heat,101,111,1,1,L 1
BOS,2024-04-27,18:00,20:11,131.0,Miami Heat,104,84,2,1,W 1
BOS,2024-04-29,19:30,21:50,140.0,Miami Heat,102,88,3,1,W 2
BOS,2024-05-01,19:30,21:41,131.0,Miami Heat,118,84,4,1,W 3
BOS,2024-05-07,19:00,21:09,129.0,Cleveland Cavaliers,120,95,5,1,W 4
BOS,2024-05-09,19:00,21:14,134.0,Cleveland Cavaliers,94,118,5,2,L 1
BOS,2024-05-11,20:30,22:41,131.0,Cleveland Cavaliers,106,93,6,2,W 1
BOS,2024-05-13,19:00,21:22,142.0,Cleveland Cavaliers,109,102,7,2,W 2
BOS,2024-05-15,19:00,21:14,134.0,Cleveland Cavaliers,113,98,8,2,W 3
BOS,2024-05-21,20:00,22:46,166.0,Indiana Pacers,133,128,9,2,W 4
BOS,2024-05-23,20:00,22:21,141.0,Indiana Pacers,126,110,10,2,W 5
BOS,2024-05-25,20:30,22:55,145.0,Indiana Pacers,114,111,11,2,W 6
BOS,2024-05-27,20:00,22:22,142.0,Indiana Pacers,105,102,12,2,W 7
BOS,2024-06-06,20:30,22:42,132.0,Dallas Mavericks,107,89,13,2,W 8
BOS,2024-06-09,20:00,22:18,138.0,Dallas Mavericks,105,98,14,2,W 9
BOS,2024-06-12,20:30,22:51,141.0,Dallas Mavericks,106,99,15,2,W 10
BOS,2024-06-14,20:30,22:52,142.0,Dallas Mavericks,84,122,15,3,L 1
BOS,2024-06-17,20:30,22:51,141.0,Dallas Mavericks,106,88,16,3,W 1
BRK,2019-04-13,14:30,17:04,154.0,Philadelphia 76ers,111,102,1,0,W 1
BRK,2019-04-15,20:00,22:28,148.0,Philadelphia 76ers,123,145,1,1,L 1
BRK,2019-04-18,20:00,22:30,150.0,Philadelphia 76ers,115,131,1,2,L 2
BRK,2019-04-20,15:00,17:33,153.0,Philadelphia 76ers,108,112,1,3,L 3
BRK,2019-04-23,20:00,22:18,138.0,Philadelphia 76ers,100,122,1,4,L 4
BRK,2020-08-17,16:00,18:26,146.0,Toronto Raptors,110,134,0,1,L 1
BRK,2020-08-19,13:30,16:02,152.0,Toronto Raptors,99,104,0,2,L 2
BRK,2020-08-21,13:30,15:38,128.0,Toronto Raptors,92,117,0,3,L 3
BRK,2020-08-23,18:30,20:50,140.0,Toronto Raptors,122,150,0,4,L 4
BRK,2021-05-22,20:00,22:23,143.0,Boston Celtics,104,93,1,0,W 1
BRK,2021-05-25,19:30,21:45,135.0,Boston Celtics,130,108,2,0,W 2
BRK,2021-05-28,20:30,23:05,155.0,Boston Celtics,119,125,2,1,L 1
BRK,2021-05-30,19:00,21:28,148.0,Boston Celtics,141,126,3,1,W 1
BRK,2021-06-01,19:30,21:52,142.0,Boston Celtics,123,109,4,1,W 2
BRK,2021-06-05,19:30,21:50,140.0,Milwaukee Bucks,115,107,5,1,W 3
BRK,2021-06-07,19:30,21:37,127.0,Milwaukee Bucks,125,86,6,1,W 4
BRK,2021-06-10,19:30,21:55,145.0,Milwaukee Bucks,83,86,6,2,L 1
BRK,2021-06-13,15:00,17:25,145.0,Milwaukee Bucks,96,107,6,3,L 2
BRK,2021-06-15,20:30,23:01,151.0,Milwaukee Bucks,114,108,7,3,W 1
BRK,2021-06-17,20:30,22:51,141.0,Milwaukee Bucks,89,104,7,4,L 1
BRK,2021-06-19,20:30,23:24,174.0,Milwaukee Bucks,111,115,7,5,L 2
BRK,2022-04-17,15:30,17:54,144.0,Boston Celtics,114,115,0,1,L 1
BRK,2022-04-20,19:00,21:35,155.0,Boston Celtics,107,114,0,2,L 2
BRK,2022-04-23,19:30,21:47,137.0,Boston Celtics,103,109,0,3,L 3
BRK,2022-04-25,19:00,21:30,150.0,Boston Celtics,112,116,0,4,L 4
BRK,2023-04-15,13:00,15:14,134.0,Philadelphia 76ers,101,121,0,1,L 1
BRK,2023-04-17,19:30,21:50,140.0,Philadelphia 76ers,84,96,0,2,L 2
BRK,2023-04-20,19:30,21:58,148.0,Philadelphia 76ers,97,102,0,3,L 3
BRK,2023-04-22,13:00,15:19,139.0,Philadelphia 76ers,88,96,0,4,L 4
CHI,2022-04-17,18:30,20:52,142.0,Milwaukee Bucks,86,93,0,1,L 1
CHI,2022-04-20,21:30,00:04,154.0,Milwaukee Bucks,114,110,1,1,W 1
CHI,2022-04-22,20:30,22:35,125.0,Milwaukee Bucks,81,111,1,2,L 1
CHI,2022-04-24,13:00,15:22,142.0,Milwaukee Bucks,95,119,1,3,L 2
CHI,2022-04-27,19:30,21:47,137.0,Milwaukee Bucks,100,116,1,4,L 3
CLE,2018-04-15,15:30,17:54,144.0,Indiana Pacers,80,98,0,1,L 1
CLE,2018-04-18,19:00,21:25,145.0,Indiana Pacers,100,97,1,1,W 1
CLE,2018-04-20,19:00,21:25,145.0,Indiana Pacers,90,92,1,2,L 1
CLE,2018-04-22,20:30,22:58,148.0,Indiana Pacers,104,100,2,2,W 1
CLE,2018-04-25,19:00,21:31,151.0,Indiana Pacers,98,95,3,2,W 2
CLE,2018-04-27,20:00,22:15,135.0,Indiana Pacers,87,121,3,3,L 1
CLE,2018-04-29,13:00,15:42,162.0,Indiana Pacers,105,101,4,3,W 1
CLE,2018-05-01,20:00,22:53,173.0,Toronto Raptors,113,112,5,3,W 2
CLE,2018-05-03,18:00,20:19,139.0,Toronto Raptors,128,110,6,3,W 3
CLE,2018-05-05,20:30,23:06,156.0,Toronto Raptors,105,103,7,3,W 4
CLE,2018-05-07,20:30,22:57,147.0,Toronto Raptors,128,93,8,3,W 5
CLE,2018-05-13,15:30,17:38,128.0,Boston Celtics,83,108,8,4,L 1
CLE,2018-05-15,20:30,22:51,141.0,Boston Celtics,94,107,8,5,L 2
CLE,2018-05-19,20:30,22:47,137.0,Boston Celtics,116,86,9,5,W 1
CLE,2018-05-21,20:30,23:00,150.0,Boston Celtics,111,102,10,5,W 2
CLE,2018-05-23,20:30,22:51,141.0,Boston Celtics,83,96,10,6,L 1
CLE,2018-05-25,20:30,22:50,140.0,Boston Celtics,109,99,11,6,W 1
CLE,2018-05-27,20:30,22:48,138.0,Boston Celtics,87,79,12,6,W 2
CLE,2018-05-31,21:00,23:38,158.0,Golden State Warriors,114,124,12,7,L 1
CLE,2018-06-03,20:00,22:25,145.0,Golden State Warriors,103,122,12,8,L 2
CLE,2018-06-06,21:00,23:19,139.0,Golden State Warriors,102,110,12,9,L 3
CLE,2018-06-08,21:00,23:19,139.0,Golden State Warriors,85,108,12,10,L 4
CLE,2023-04-15,18:00,20:26,146.0,New York Knicks,97,101,0,1,L 1
CLE,2023-04-18,19:30,21:51,141.0,New York Knicks,107,90,1,1,W 1
CLE,2023-04-21,20:30,22:44,134.0,New York Knicks,79,99,1,2,L 1
CLE,2023-04-23,13:00,15:22,142.0,New York Knicks,93,102,1,3,L 2
CLE,2023-04-26,19:00,21:25,145.0,New York Knicks,95,106,1,4,L 3
CLE,2024-04-20,13:00,15:32,152.0,Orlando Magic,97,83,1,0,W 1
CLE,2024-04-22,19:00,21:31,151.0,Orlando Magic,96,86,2,0,W 2
CLE,2024-04-25,19:00,21:10,130.0,Orlando Magic,83,121,2,1,L 1
CLE,2024-04-27,13:00,15:20,140.0,Orlando Magic,89,112,2,2,L 2
CLE,2024-04-30,20:00,22:31,151.0,Orlando Magic,104,103,3,2,W 1
CLE,2024-05-03,19:00,21:28,148.0,Orlando Magic,96,103,3,3,L 1
CLE,2024-05-05,13:00,15:37,157.0,Orlando Magic,106,94,4,3,W 1
CLE,2024-05-07,19:00,21:09,129.0,Boston Celtics,95,120,4,4,L 1
CLE,2024-05-09,19:00,21:14,134.0,Boston Celtics,118,94,5,4,W 1
CLE,2024-05-11,20:30,22:41,131.0,Boston Celtics,93,106,5,5,L 1
CLE,2024-05-13,19:00,21:22,142.0,Boston Celtics,102,109,5,6,L 2
CLE,2024-05-15,19:00,21:14,134.0,Boston Celtics,98,113,5,7,L 3
DAL,2020-08-17,21:00,23:30,150.0,Los Angeles Clippers,110,118,0,1,L 1
DAL,2020-08-19,21:00,23:40,160.0,Los Angeles Clippers,127,114,1,1,W 1
DAL,2020-08-21,21:00,23:28,148.0,Los Angeles Clippers,122,130,1,2,L 1
DAL,2020-08-23,15:30,18:14,164.0,Los Angeles Clippers,135,133,2,2,W 1
DAL,2020-08-25,21:00,23:33,153.0,Los Angeles Clippers,111,154,2,3,L 1
DAL,2020-08-30,15:30,17:46,136.0,Los Angeles Clippers,97,111,2,4,L 2
DAL,2021-05-22,16:30,18:52,142.0,Los Angeles Clippers,113,103,1,0,W 1
DAL,2021-05-25,22:30,00:56,146.0,Los Angeles Clippers,127,121,2,0,W 2
DAL,2021-05-28,21:30,00:01,151.0,Los Angeles Clippers,108,118,2,1,L 1
DAL,2021-05-30,21:30,23:53,143.0,Los Angeles Clippers,81,106,2,2,L 2
DAL,2021-06-02,22:00,00:29,149.0,Los Angeles Clippers,105,100,3,2,W 1
DAL,2021-06-04,21:00,23:26,146.0,Los Angeles Clippers,97,104,3,3,L 1
DAL,2021-06-06,15:30,17:57,147.0,Los Angeles Clippers,111,126,3,4,L 2
DAL,2022-04-16,13:00,15:29,149.0,Utah Jazz,93,99,0,1,L 1
DAL,2022-04-18,20:30,22:45,135.0,Utah Jazz,110,104,1,1,W 1
DAL,2022-04-21,21:00,23:37,157.0,Utah Jazz,126,118,2,1,W 2
DAL,2022-04-23,16:30,19:10,160.0,Utah Jazz,99,100,2,2,L 1
DAL,2022-04-25,21:30,23:50,140.0,Utah Jazz,102,77,3,2,W 1
DAL,2022-04-28,22:00,00:14,134.0,Utah Jazz,98,96,4,2,W 2
DAL,2022-05-02,22:00,00:24,144.0,Phoenix Suns,114,121,4,3,L 1
DAL,2022-05-04,22:00,00:24,144.0,Phoenix Suns,109,129,4,4,L 2
DAL,2022-05-06,21:30,23:42,132.0,Phoenix Suns,103,94,5,4,W 1
DAL,2022-05-08,15:30,17:52,142.0,Phoenix Suns,111,101,6,4,W 2
DAL,2022-05-10,22:00,00:19,139.0,Phoenix Suns,80,110,6,5,L 1
DAL,2022-05-12,21:30,23:53,143.0,Phoenix Suns,113,86,7,5,W 1
DAL,2022-05-15,20:00,22:07,127.0,Phoenix Suns,123,90,8,5,W 2
DAL,2022-05-18,21:00,23:15,135.0,Golden State Warriors,87,112,8,6,L 1
DAL,2022-05-20,21:00,23:33,153.0,Golden State Warriors,117,126,8,7,L 2
DAL,2022-05-22,21:00,23:34,154.0,Golden State Warriors,100,109,8,8,L 3
DAL,2022-05-24,21:00,23:32,152.0,Golden State Warriors,119,109,9,8,W 1
DAL,2022-05-26,21:00,23:17,137.0,Golden State Warriors,110,120,9,9,L 1
DAL,2024-04-21,15:30,17:52,142.0,Los Angeles Clippers,97,109,0,1,L 1
DAL,2024-04-23,22:00,00:35,155.0,Los Angeles Clippers,96,93,1,1,W 1
DAL,2024-04-26,20:00,22:28,148.0,Los Angeles Clippers,101,90,2,1,W 2
DAL,2024-04-28,15:30,18:06,156.0,Los Angeles Clippers,111,116,2,2,L 1
DAL,2024-05-01,22:00,00:16,136.0,Los Angeles Clippers,123,93,3,2,W 1
DAL,2024-05-03,21:30,00:05,155.0,Los Angeles Clippers,114,101,4,2,W 2
DAL,2024-05-07,21:30,23:53,143.0,Oklahoma City Thunder,95,117,4,3,L 1
DAL,2024-05-09,21:30,23:57,147.0,Oklahoma City Thunder,119,110,5,3,W 1
DAL,2024-05-11,15:30,17:55,145.0,Oklahoma City Thunder,105,101,6,3,W 2
DAL,2024-05-13,21:30,00:09,159.0,Oklahoma City Thunder,96,100,6,4,L 1
DAL,2024-05-15,21:30,23:42,132.0,Oklahoma City Thunder,104,92,7,4,W 1
DAL,2024-05-18,20:00,22:26,146.0,Oklahoma City Thunder,117,116,8,4,W 2
DAL,2024-05-22,20:30,22:56,146.0,Minnesota Timberwolves,108,105,9,4,W 3
DAL,2024-05-24,20:30,22:59,149.0,Minnesota Timberwolves,109,108,10,4,W 4
DAL,2024-05-26,20:00,22:31,151.0,Minnesota Timberwolves,116,107,11,4,W 5
DAL,2024-05-28,20:30,23:05,155.0,Minnesota Timberwolves,100,105,11,5,L 1
DAL,2024-05-30,20:30,22:51,141.0,Minnesota Timberwolves,124,103,12,5,W 1
DAL,2024-06-06,20:30,22:42,132.0,Boston Celtics,89,107,12,6,L 1
DAL,2024-06-09,20:00,22:18,138.0,Boston Celtics,98,105,12,7,L 2
DAL,2024-06-12,20:30,22:51,141.0,Boston Celtics,99,106,12,8,L 3
DAL,2024-06-14,20:30,22:52,142.0,Boston Celtics,122,84,13,8,W 1
DAL,2024-06-17,20:30,22:51,141.0,Boston Celtics,88,106,13,9,L 1
DEN,2019-04-13,22:30,00:47,137.0,San Antonio Spurs,96,101,0,1,L 1
DEN,2019-04-16,21:00,23:16,136.0,San Antonio Spurs,114,105,1,1,W 1
DEN,2019-04-18,21:00,23:15,135.0,San Antonio Spurs,108,118,1,2,L 1
DEN,2019-04-20,17:30,19:50,140.0,San Antonio Spurs,117,103,2,2,W 1
DEN,2019-04-23,21:30,23:40,130.0,San Antonio Spurs,108,90,3,2,W 2
DEN,2019-04-25,20:00,22:17,137.0,San Antonio Spurs,103,120,3,3,L 1
DEN,2019-04-27,22:00,00:27,147.0,San Antonio Spurs,90,86,4,3,W 1
DEN,2019-04-29,22:30,00:52,142.0,Portland Trail Blazers,121,113,5,3,W 2
DEN,2019-05-01,21:00,23:32,152.0,Portland Trail Blazers,90,97,5,4,L 1
DEN,2019-05-03,22:30,01:55,205.0,Portland Trail Blazers,137,140,5,5,L 2
DEN,2019-05-05,19:00,21:36,156.0,Portland Trail Blazers,116,112,6,5,W 1
DEN,2019-05-07,22:30,00:54,144.0,Portland Trail Blazers,124,98,7,5,W 2
DEN,2019-05-09,22:30,00:53,143.0,Portland Trail Blazers,108,119,7,6,L 1
DEN,2019-05-12,15:30,18:01,151.0,Portland Trail Blazers,96,100,7,7,L 2
DEN,2020-08-17,13:30,16:03,153.0,Utah Jazz,135,125,1,0,W 1
DEN,2020-08-19,16:00,18:15,135.0,Utah Jazz,105,124,1,1,L 1
DEN,2020-08-21,16:00,18:14,134.0,Utah Jazz,87,124,1,2,L 2
DEN,2020-08-23,21:00,23:30,150.0,Utah Jazz,127,129,1,3,L 3
DEN,2020-08-25,18:30,20:55,145.0,Utah Jazz,117,107,2,3,W 1
DEN,2020-08-30,20:30,22:55,145.0,Utah Jazz,119,107,3,3,W 2
DEN,2020-09-01,20:30,22:43,133.0,Utah Jazz,80,78,4,3,W 3
DEN,2020-09-03,21:00,23:13,133.0,Los Angeles Clippers,97,120,4,4,L 1
DEN,2020-09-05,21:00,23:22,142.0,Los Angeles Clippers,110,101,5,4,W 1
DEN,2020-09-07,21:00,23:24,144.0,Los Angeles Clippers,107,113,5,5,L 1
DEN,2020-09-09,21:00,23:43,163.0,Los Angeles Clippers,85,96,5,6,L 2
